des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2022 YS6,6,2459945.552353217,2023-Jan-01 01:15,0.0119433276822996,0.0119132719649243,0.0119733826797352,9.7193786029063,9.69639795657209,< 00:01,26.86
2022 YR1,8,2459946.364444622,2023-Jan-01 20:45,0.0417486541444689,0.0413647086461931,0.0421325748172146,6.03462893861683,6.02404370695339,< 00:01,26.04
2022 YT3,8,2459946.529983270,2023-Jan-02 00:43,0.0284596934294946,0.0283836799533263,0.0285357050809292,6.43839410806925,6.4238363046786,< 00:01,25.81
2022 YU3,5,2459946.716108034,2023-Jan-02 05:11,0.0251910694591085,0.0250168666339067,0.0253652623678832,7.13378641737377,7.11894423823365,< 00:01,25.86
2022 YY6,4,2459946.962983696,2023-Jan-02 11:07,0.00543886360452723,0.00541107030146487,0.00546665622803439,20.2695510903181,20.245367587082,< 00:01,26.15
2023 AL2,1,2459947.168933240,2023-Jan-02 16:03,0.0112840320219109,0.0111943775206744,0.0113736823926009,13.1398792319037,13.121896571075,01:01,25.94
2022 YP5,7,2459947.244799156,2023-Jan-02 17:53,0.0199760170406436,0.019918744842221,0.0200332856261944,4.79340052246945,4.76549270704505,< 00:01,27.13
2021 NF,8,2459947.405147680,2023-Jan-02 21:43,0.0457042808517306,0.0457040871119625,0.0457044745921118,11.3208901030712,11.31573931464,< 00:01,24.75
2022 YJ4,6,2459947.741988620,2023-Jan-03 05:48,0.013560548088591,0.0135191512624248,0.0136019417773958,5.57883001299965,5.54349791602651,< 00:01,26.97
2012 BE27,10,2459947.878385804,2023-Jan-03 09:05,0.0143520164254911,0.0143504529229993,0.0143535799492049,10.3186487890959,10.3006411937348,< 00:01,23.30
2023 AU,2,2459947.934309655,2023-Jan-03 10:25,0.0244220269812102,0.0242028478197241,0.0246411912810851,7.56425399532675,7.54981692107382,00:02,27.02
2011 WR41,11,2459948.221946792,2023-Jan-03 17:20,0.0405377113458668,0.0405302257042255,0.111676045470241,8.94882792980961,8.94147999472359,6_22:43,25.12
2019 AY3,9,2459948.634099150,2023-Jan-04 03:13,0.0349274727792351,0.0349272777249039,0.034927667833594,19.4603509013882,19.4564304301192,< 00:01,23.82
2022 YS4,8,2459949.348473527,2023-Jan-04 20:22,0.0153784769198607,0.0153601961526602,0.0153967573566399,6.80045711706509,6.7749314701555,< 00:01,25.73
2023 AE,4,2459949.907584917,2023-Jan-05 09:47,0.0111224106736742,0.0110265499734362,0.0112182669176306,13.6425512498457,13.6249802043527,00:04,26.05
2022 YL4,8,2459950.405454270,2023-Jan-05 21:44,0.013254467774605,0.0132486438140199,0.013260291150291,1.95502765761234,1.8493466816719,< 00:01,27.64
2022 YN1,6,2459950.570786877,2023-Jan-06 01:42,0.0469726207312617,0.0468012731315178,0.0471439636622829,5.51345455419496,5.50315663359132,< 00:01,24.26
2023 AV1,1,2459951.145616474,2023-Jan-06 15:30,0.0132336361103413,0.013156481436131,0.0133107846928126,7.38894456072556,7.36164511800222,00:15,26.76
2023 BZ,5,2459952.550199119,2023-Jan-08 01:12,0.0237096677229224,0.0236356176866476,0.0237837164788632,8.91842630260685,8.90581657243176,00:02,26.67
2023 AD,5,2459952.811072047,2023-Jan-08 07:28,0.0340464134569641,0.033895809609858,0.0341970151261796,9.80198181960217,9.79399444452445,< 00:01,26.20
2021 TL,17,2459953.738313839,2023-Jan-09 05:43,0.0364123547236938,0.0364121438125083,0.0364125656349539,8.45062711383551,8.44196353504406,< 00:01,23.52
2023 AO,7,2459954.682091778,2023-Jan-10 04:22,0.043212743767438,0.0429556488558051,0.0434698361757329,12.2630236489838,12.2579945288414,< 00:01,25.44
